date;reality;projection;
01/01/2021;168;166;168
02/01/2021;169;166;169
03/01/2021;171;168;172
04/01/2021;173;170;172
05/01/2021;174;171;175
06/01/2021;176;173;176
07/01/2021;179;175;179
08/01/2021;181;178;181
09/01/2021;184;182;183
10/01/2021;186;186;188
11/01/2021;191;188;191
12/01/2021;195;193;196
13/01/2021;199;197;199
14/01/2021;203;202;205
15/01/2021;209;207;209
16/01/2021;216;212;214
17/01/2021;219;216;220
18/01/2021;225;225;224
19/01/2021;229;229;229
20/01/2021;233;232;235
21/01/2021;238;235;238
22/01/2021;241;239;241
23/01/2021;242;239;243
24/01/2021;243;241;244
25/01/2021;245;241;244
26/01/2021;244;241;244
27/01/2021;244;241;244
28/01/2021;243;239;244
29/01/2021;242;239;244
30/01/2021;242;239;242
31/01/2021;241;237;241
01/02/2021;240;237;241
02/02/2021;239;237;241
03/02/2021;239;237;241
04/02/2021;240;237;241
05/02/2021;240;237;241
06/02/2021;239;237;241
07/02/2021;241;237;241
08/02/2021;241;237;241
09/02/2021;240;237;241
10/02/2021;239;236;241
11/02/2021;239;236;241
12/02/2021;239;235;238
13/02/2021;237;234;238
14/02/2021;237;232;238
15/02/2021;236;232;236
16/02/2021;236;232;237
17/02/2021;236;232;238
18/02/2021;237;233;238
19/02/2021;239;236;239
20/02/2021;241;238;242
21/02/2021;244;241;244
22/02/2021;248;245;248
23/02/2021;251;250;253
24/02/2021;255;253;256
25/02/2021;259;256;262
26/02/2021;266;261;265
27/02/2021;268;265;268
28/02/2021;271;267;271
01/03/2021;275;272;275
02/03/2021;277;274;279
03/03/2021;281;278;280
04/03/2021;282;279;283
05/03/2021;284;281;284
06/03/2021;286;284;286
07/03/2021;288;284;288
08/03/2021;291;287;292
09/03/2021;292;291;293
10/03/2021;296;293;296
11/03/2021;300;298;302
12/03/2021;305;303;305
13/03/2021;309;308;311
14/03/2021;315;312;317
15/03/2021;321;321;322
16/03/2021;327;327;330
17/03/2021;334;334;337
18/03/2021;341;339;343
19/03/2021;348;347;349
20/03/2021;353;354;356
21/03/2021;360;360;362
22/03/2021;364;364;369
23/03/2021;372;371;374
24/03/2021;378;378;383
25/03/2021;385;385;388
26/03/2021;392;390;395
27/03/2021;399;398;403
28/03/2021;406;403;408
29/03/2021;414;412;417
30/03/2021;420;419;424
31/03/2021;428;426;430
01/04/2021;433;433;435
02/04/2021;438;442;442
03/04/2021;443;449;446
04/04/2021;447;454;449
05/04/2021;447;458;450
06/04/2021;448;467;449
07/04/2021;445;468;446
08/04/2021;443;471;443
09/04/2021;439;474;440
10/04/2021;436;470;437
11/04/2021;431;470;433
12/04/2021;427;471;428
13/04/2021;424;473;425
14/04/2021;420;471;420
15/04/2021;416;471;418
16/04/2021;414;470;414
17/04/2021;410;470;410
18/04/2021;407;469;406
19/04/2021;403;466;402
20/04/2021;400;465;396
21/04/2021;395;;388
22/04/2021;385;;382
23/04/2021;380;;373
24/04/2021;369;;366
25/04/2021;361;;355
26/04/2021;349;;347
27/04/2021;337;;338
28/04/2021;327;;330
29/04/2021;314;;321
30/04/2021;303;;
01/05/2021;289;;
02/05/2021;277;;
03/05/2021;263;;
04/05/2021;252;;
05/05/2021;239;;
06/05/2021;228;;
07/05/2021;218;;
08/05/2021;205;;
09/05/2021;196;;
10/05/2021;186;;
11/05/2021;179;;
12/05/2021;170;;
13/05/2021;165;;
14/05/2021;158;;
15/05/2021;154;;
16/05/2021;148;;
17/05/2021;145;;
18/05/2021;141;;
19/05/2021;137;;
20/05/2021;135;;
21/05/2021;131;;
22/05/2021;129;;
23/05/2021;126;;
24/05/2021;121;;
25/05/2021;117;;
26/05/2021;113;;
27/05/2021;110;;
28/05/2021;106;;
29/05/2021;;;
30/05/2021;;;
31/05/2021;;;
01/06/2021;;;
